Season,Round,Race,Circuit,Driver,Constructor,Position,Q1,Q2,Q3
2020,2,Styrian Grand Prix,Red Bull Ring,Gasly,AlphaTauri,8,1:20.192,1:18.744,1:21.028
2020,2,Styrian Grand Prix,Red Bull Ring,Ricciardo,Renault,9,1:19.662,1:19.229,1:21.192
2020,2,Styrian Grand Prix,Red Bull Ring,Vettel,Ferrari,10,1:20.243,1:19.545,1:21.651
2021,1,Bahrain Grand Prix,Bahrain International Circuit,Verstappen,Red Bull,1,1:30.499,1:30.318,1:28.997
2021,1,Bahrain Grand Prix,Bahrain International Circuit,Hamilton,Mercedes,2,1:30.617,1:30.085,1:29.385
2021,1,Bahrain Grand Prix,Bahrain International Circuit,Bottas,Mercedes,3,1:31.200,1:30.186,1:29.586
2021,1,Bahrain Grand Prix,Bahrain International Circuit,Leclerc,Ferrari,4,1:30.691,1:30.010,1:29.678
2021,1,Bahrain Grand Prix,Bahrain International Circuit,Gasly,AlphaTauri,5,1:30.848,1:30.513,1:29.809
2021,1,Bahrain Grand Prix,Bahrain International Circuit,Ricciardo,McLaren,6,1:30.795,1:30.222,1:29.927
2021,1,Bahrain Grand Prix,Bahrain International Circuit,Norris,McLaren,7,1:30.902,1:30.099,1:29.974
2021,1,Bahrain Grand Prix,Bahrain International Circuit,Sainz,Ferrari,8,1:31.653,1:30.009,1:30.215
2021,1,Bahrain Grand Prix,Bahrain International Circuit,Alonso,Alpine F1 Team,9,1:30.863,1:30.595,1:30.249
2021,1,Bahrain Grand Prix,Bahrain International Circuit,Stroll,Aston Martin,10,1:31.261,1:30.624,1:30.601
2021,1,Bahrain Grand Prix,Bahrain International Circuit,Pérez,Red Bull,11,1:31.165,1:30.659,
2021,1,Bahrain Grand Prix,Bahrain International Circuit,Giovinazzi,Alfa Romeo,12,1:30.998,1:30.708,
2021,1,Bahrain Grand Prix,Bahrain International Circuit,Tsunoda,AlphaTauri,13,1:30.607,1:31.203,
