Season,Round,Race,Date,Circuit,Country,DriverId,Lap,Stop Number,Time of Day,Duration
2015,7,Canadian Grand Prix,2015-06-07,Circuit Gilles Villeneuve,Canada,bottas,28,1,14:40:10,25.541
2015,7,Canadian Grand Prix,2015-06-07,Circuit Gilles Villeneuve,Canada,hulkenberg,28,1,14:40:35,23.507
2015,7,Canadian Grand Prix,2015-06-07,Circuit Gilles Villeneuve,Canada,ericsson,28,1,14:40:57,24.149
2015,7,Canadian Grand Prix,2015-06-07,Circuit Gilles Villeneuve,Canada,hamilton,29,1,14:41:11,23.708
2015,7,Canadian Grand Prix,2015-06-07,Circuit Gilles Villeneuve,Canada,rosberg,30,1,14:42:33,23.321
2015,7,Canadian Grand Prix,2015-06-07,Circuit Gilles Villeneuve,Canada,alonso,31,1,14:45:06,23.553
2015,7,Canadian Grand Prix,2015-06-07,Circuit Gilles Villeneuve,Canada,vettel,35,2,14:50:00,23.945
2015,7,Canadian Grand Prix,2015-06-07,Circuit Gilles Villeneuve,Canada,stevens,34,1,14:50:14,30.807
2015,7,Canadian Grand Prix,2015-06-07,Circuit Gilles Villeneuve,Canada,merhi,35,1,14:51:40,26.986
2015,7,Canadian Grand Prix,2015-06-07,Circuit Gilles Villeneuve,Canada,massa,37,1,14:52:40,23.912
2015,7,Canadian Grand Prix,2015-06-07,Circuit Gilles Villeneuve,Canada,max_verstappen,39,1,14:55:43,36.105
2015,7,Canadian Grand Prix,2015-06-07,Circuit Gilles Villeneuve,Canada,raikkonen,40,2,14:56:15,24.578
2015,7,Canadian Grand Prix,2015-06-07,Circuit Gilles Villeneuve,Canada,button,44,2,15:03:06,25.374
2015,8,Austrian Grand Prix,2015-06-21,Red Bull Ring,Austria,kvyat,1,1,14:04:37,28.632
2015,8,Austrian Grand Prix,2015-06-21,Red Bull Ring,Austria,ericsson,2,1,14:06:56,30.232
2015,8,Austrian Grand Prix,2015-06-21,Red Bull Ring,Austria,button,3,1,14:09:03,24.104
2015,8,Austrian Grand Prix,2015-06-21,Red Bull Ring,Austria,button,6,2,14:14:39,28.727
2015,8,Austrian Grand Prix,2015-06-21,Red Bull Ring,Austria,ericsson,12,2,14:22:17,16.211
2015,8,Austrian Grand Prix,2015-06-21,Red Bull Ring,Austria,grosjean,23,1,14:35:38,22.016
2015,8,Austrian Grand Prix,2015-06-21,Red Bull Ring,Austria,nasr,24,1,14:36:49,22.803
2015,8,Austrian Grand Prix,2015-06-21,Red Bull Ring,Austria,hulkenberg,25,1,14:37:53,21.685
2015,8,Austrian Grand Prix,2015-06-21,Red Bull Ring,Austria,sainz,25,1,14:38:02,27.638
2015,8,Austrian Grand Prix,2015-06-21,Red Bull Ring,Austria,bottas,26,1,14:39:05,22.777
2015,8,Austrian Grand Prix,2015-06-21,Red Bull Ring,Austria,max_verstappen,26,1,14:39:12,21.984
2015,8,Austrian Grand Prix,2015-06-21,Red Bull Ring,Austria,rosberg,33,1,14:47:13,21.768
2015,8,Austrian Grand Prix,2015-06-21,Red Bull Ring,Austria,massa,34,1,14:48:45,22.447
2015,8,Austrian Grand Prix,2015-06-21,Red Bull Ring,Austria,hamilton,35,1,14:49:40,21.869
2015,8,Austrian Grand Prix,2015-06-21,Red Bull Ring,Austria,merhi,34,1,14:50:23,23.926
2015,8,Austrian Grand Prix,2015-06-21,Red Bull Ring,Austria,vettel,36,1,14:51:04,31.882
2015,8,Austrian Grand Prix,2015-06-21,Red Bull Ring,Austria,maldonado,37,1,14:52:53,21.847
2015,8,Austrian Grand Prix,2015-06-21,Red Bull Ring,Austria,perez,38,1,14:54:06,26.689
2015,8,Austrian Grand Prix,2015-06-21,Red Bull Ring,Austria,kvyat,45,2,15:03:07,22.111
2015,8,Austrian Grand Prix,2015-06-21,Red Bull Ring,Austria,ericsson,45,3,15:04:13,22.449
2015,8,Austrian Grand Prix,2015-06-21,Red Bull Ring,Austria,ricciardo,50,1,15:09:02,27.710
2015,9,British Grand Prix,2015-07-05,Silverstone Circuit,UK,alonso,1,1,13:05:14,1:11.178
2015,9,British Grand Prix,2015-07-05,Silverstone Circuit,UK,ricciardo,11,1,13:23:42,28.464
2015,9,British Grand Prix,2015-07-05,Silverstone Circuit,UK,sainz,12,1,13:25:22,29.393
2015,9,British Grand Prix,2015-07-05,Silverstone Circuit,UK,raikkonen,13,1,13:26:56,28.974
2015,9,British Grand Prix,2015-07-05,Silverstone Circuit,UK,vettel,14,1,13:28:38,28.946
2015,9,British Grand Prix,2015-07-05,Silverstone Circuit,UK,alonso,17,2,13:34:06,28.703
2015,9,British Grand Prix,2015-07-05,Silverstone Circuit,UK,kvyat,18,1,13:35:17,28.347
2015,9,British Grand Prix,2015-07-05,Silverstone Circuit,UK,hamilton,19,1,13:36:43,28.417
2015,9,British Grand Prix,2015-07-05,Silverstone Circuit,UK,hulkenberg,19,1,13:36:56,28.558
2015,9,British Grand Prix,2015-07-05,Silverstone Circuit,UK,massa,20,1,13:38:21,29.369
2015,9,British Grand Prix,2015-07-05,Silverstone Circuit,UK,rosberg,20,1,13:38:22,28.393
2015,9,British Grand Prix,2015-07-05,Silverstone Circuit,UK,perez,20,1,13:38:41,28.860
2015,9,British Grand Prix,2015-07-05,Silverstone Circuit,UK,ricciardo,20,2,13:39:28,43.240
2015,9,British Grand Prix,2015-07-05,Silverstone Circuit,UK,bottas,21,1,13:39:59,28.781
2015,9,British Grand Prix,2015-07-05,Silverstone Circuit,UK,ericsson,23,1,13:43:56,29.598
2015,9,British Grand Prix,2015-07-05,Silverstone Circuit,UK,stevens,36,1,14:07:55,48.861
2015,9,British Grand Prix,2015-07-05,Silverstone Circuit,UK,merhi,36,1,14:08:22,34.672
2015,9,British Grand Prix,2015-07-05,Silverstone Circuit,UK,ericsson,37,2,14:08:39,30.867
2015,9,British Grand Prix,2015-07-05,Silverstone Circuit,UK,alonso,37,3,14:08:45,32.593
2015,9,British Grand Prix,2015-07-05,Silverstone Circuit,UK,raikkonen,38,2,14:09:28,30.397
2015,9,British Grand Prix,2015-07-05,Silverstone Circuit,UK,ericsson,41,3,14:16:26,29.828
2015,9,British Grand Prix,2015-07-05,Silverstone Circuit,UK,hamilton,43,2,14:17:40,28.979
2015,9,British Grand Prix,2015-07-05,Silverstone Circuit,UK,vettel,43,2,14:18:01,29.676
2015,9,British Grand Prix,2015-07-05,Silverstone Circuit,UK,ericsson,42,4,14:18:36,30.197
2015,9,British Grand Prix,2015-07-05,Silverstone Circuit,UK,rosberg,44,2,14:19:37,30.393
2015,9,British Grand Prix,2015-07-05,Silverstone Circuit,UK,massa,44,2,14:19:54,31.948
2015,9,British Grand Prix,2015-07-05,Silverstone Circuit,UK,bottas,44,2,14:20:02,31.937
2015,9,British Grand Prix,2015-07-05,Silverstone Circuit,UK,kvyat,44,2,14:20:27,33.979
